Символ;Вероятность
"(space)";0,1733333333
"e";0,0991666667
"t";0,0708333333
"a";0,0666666667
"i";0,0633333333
"o";0,0625000000
"n";0,0591666667
"s";0,0550000000
"r";0,0516666667
"h";0,0450000000
"l";0,0375000000
"d";0,0358333333
"m";0,0275000000
"u";0,0216666667
"y";0,0208333333
"c";0,0183333333
"f";0,0183333333
"p";0,0166666667
"b";0,0150000000
"g";0,0108333333
"w";0,0108333333
"v";0,0091666667
"k";0,0075000000
"x";0,0025000000
"z";0,0008333333
